epoch,train_loss,val_loss,lr
1,0.000151263738357725,0.00013794711194350384,0.001
2,0.00012810368613646775,0.00013089922795188612,0.001
3,0.00010878020015855141,0.00010499370910110883,0.001
4,9.906710118548444e-05,0.00010211390443146229,0.001
5,9.347197812365431e-05,9.485644455708098e-05,0.001
6,9.089771278754429e-05,8.397145837079733e-05,0.001
7,8.856613178270184e-05,8.042762965487782e-05,0.001
8,8.349922968851565e-05,7.26116568694124e-05,0.001
9,6.504671644733351e-05,4.700678131484892e-05,0.001
10,5.3986423552224036e-05,5.531476483156439e-05,0.001
11,5.113862291659873e-05,4.6015266016183886e-05,0.001
12,4.847173912475708e-05,5.2038932917639616e-05,0.001
13,4.6477237182220244e-05,4.24635952731478e-05,0.001
