epoch,train_loss,val_loss,lr
1,0.00010002261265362782,9.603427795809694e-05,0.001
2,8.950632226904063e-05,8.621091954410077e-05,0.001
3,8.061617137610921e-05,8.446624226053245e-05,0.001
4,6.706653374464502e-05,6.053808996512089e-05,0.001
5,5.4780496308618844e-05,5.136110652529169e-05,0.001
6,4.837777336745998e-05,4.457361894310452e-05,0.001
7,4.4419354176920854e-05,4.212521598674357e-05,0.001
8,4.1964651101580644e-05,4.5958043847349474e-05,0.001
9,4.038144462120491e-05,3.993811515101697e-05,0.001
10,3.830423979906168e-05,3.4359108685748655e-05,0.001
11,3.7346876236826286e-05,3.7889416562393306e-05,0.001
12,3.6511174539095874e-05,3.757929927814985e-05,0.001
13,3.5560811729646036e-05,3.4218282671645283e-05,0.001
